m_010q36	PERSON	Fred Rogers
m_01206f	PERSON	Zalman Schachter-Shalomi
m_012_53	PERSON	Melissa Joan Hart
m_012fs4	PERSON	Yves Saint Laurent
m_012z69	PERSON	Duncan II of Scotland
m_014fd7	PERSON	Ruth Dreifuss
m_015581	PERSON	Fran\xc3\xa7ois Le Fort
m_0156_q	PERSON	Charles William Eliot
m_015gh6	PERSON	Patriarch Epiphanius of Constantinople
m_015q9n	PERSON	John Smith
m_0167xk	PERSON	Al Sharpton
m_016gr2	PERSON	Derek Jacobi
m_016htr	PERSON	Edwin Fischer
m_01721f	PERSON	Michael Grade
m_017hks	PERSON	Kiyoura Keigo
m_018fmr	PERSON	Lana Turner
m_018h_s	PERSON	Mark Phillips
m_018l4f	PERSON	Whittaker Chambers
m_018r79	PERSON	Karl Friedrich Eichhorn
m_018rt5	PERSON	Philipp Spener
m_019qjt	PERSON	Nankichi Niimi
m_01_81m	PERSON	Slavoljub Eduard Penkala
m_01_8vb	PERSON	R\xc3\xbcdiger Nehberg
m_01_v24	PERSON	Brian Coffey
m_01_vf4	PERSON	Juan Laurentino Ortiz
m_01bkb0	PERSON	Senesino
m_01bpgq	PERSON	Sarah Zettel
m_01c1dv	PERSON	James Stephen
m_01c7p_	PERSON	John Kander
m_01czdt	PERSON	Barthold Heinrich Brockes
m_01d7l8	PERSON	Arun Shourie
m_01d8rv	PERSON	Archibald Constable
m_01d99h	PERSON	Catherine of Braganza
m_01djq0	PERSON	Emperor Taizong of Tang
m_01dyw8	PERSON	Ronald Paulson
m_01f0tg	PERSON	G\xc3\xbcnther Schifter
m_01ffpd	PERSON	Paul Moyer Limbert
m_01fk34	PERSON	Mihajlo Idvorski Pupin
m_01fpn9	PERSON	Mohammad Mosaddegh
m_01fqyl	PERSON	John Holt
m_01g3rk	PERSON	Bill Richmond
m_01g7ky	PERSON	Robert Dundas, 2nd Viscount Melville
m_01gxwk	PERSON	Takeo Yoshikawa
m_01h2t5	PERSON	William Thornton
m_01htw_	PERSON	Susan Polgar
m_01jfclc	PERSON	Trevor Jones
m_01jnc6b	PERSON	Johnny Van Zant
m_01jvrt	PERSON	Arthur Goldberger
m_01jwk6	PERSON	Jean-Jacques Challet-Venel
m_01k1dm	PERSON	Andrew Pickens
m_01k7m9	PERSON	William Coxe
m_01kp9_8	PERSON	Rappin' 4-Tay
m_01l7c9	PERSON	Martin Sargent
m_01l_tjb	PERSON	C.C.Catch
m_01lpbcd	PERSON	Mick Taylor
m_01lszk2	PERSON	Christian Smith
m_01m1f2	PERSON	Fulton J. Sheen
m_01m6cm1	PERSON	Pluto Shervington
m_01mfrsx	PERSON	Emak Bakia
m_01mh2d9	PERSON	Lenny Leblanc
m_01mlm7f	PERSON	Holly Palmer
m_01mn5kd	PERSON	Phil Vassar
m_01mt36g	PERSON	Wally Pleasant
m_01mz2s4	PERSON	Jimmy LaFave
m_01mzmkx	PERSON	Michel Pagliaro
m_01n3t4q	PERSON	Bobby Horton
m_01n40wc	PERSON	S\xc3\xb8s Fenger
m_01npxcs	PERSON	Fran\xc3\xa7ois Hadji-Lazaro
m_01nrnfn	PERSON	Spek
m_01nrpvf	PERSON	Ivan Lins
m_01nrs7d	PERSON	Tino Gonzales
m_01nvvl	PERSON	Russ Feingold
m_01nvzd9	PERSON	Roy Acuff
m_01nx82	PERSON	Ranavalona II
m_01nzs25	PERSON	Steve Bicknell
m_01p5ym0	PERSON	Dennis Taylor
m_01p9ts0	PERSON	Jenny Bruce
m_01pf2b3	PERSON	Jeremy Camp
m_01pgx_n	PERSON	Akira Yamamoto
m_01pjd2j	PERSON	Dame Darcy
m_01pjm9l	PERSON	Akia
m_01pkks	PERSON	Edi Rama
m_01pks_b	PERSON	Merrie Amsterburg
m_01pn8r_	PERSON	Pekka Ruuska
m_01ppqx6	PERSON	Rod McKuen
m_01ppyb	PERSON	Guru Nanak Dev
m_01pq_l	PERSON	Welwyn Wilton Katz
m_01pqwfj	PERSON	Anna Jantar
m_01prwvl	PERSON	Radka Toneff
m_01ps111	PERSON	Don Potter
m_01pslkg	PERSON	Cory Sipper
m_01pvb7n	PERSON	Ida Kristin
m_01pw6d1	PERSON	Trond-Viggo Torgersen
m_01pxljx	PERSON	Alexandru Andrie\xc5\x9f
m_01q35z0	PERSON	Taruna
m_01q471x	PERSON	Dario Baldan Bembo
m_01q4x8	PERSON	Camilla Collett
m_01q547	PERSON	Madeleine de Scud\xc3\xa9ry
m_01q62bl	PERSON	Neeka
m_01q7tn	PERSON	Malcolm Muggeridge
m_01q8d3	PERSON	Leonard Gansevoort
m_01qf2tr	PERSON	Joel Chernoff
m_01qg7c	PERSON	Barry Sonnenfeld
m_01qkdh	PERSON	Bernard Kerik
m_01qm2k2	PERSON	Franco Micalizzi
m_01qvh_f	PERSON	Enzo Iacchetti
m_01qx40h	PERSON	Ivo Robi\xc4\x87
m_01r2v0j	PERSON	Clif Magness
m_01r3t8j	PERSON	Mariella Nava
m_01r6f1	PERSON	Elbert Dubenion
m_01r6mt	PERSON	John Gould Fletcher
m_01rbskx	PERSON	Pub
m_01rcb_	PERSON	Kazuo Umezu
m_01rcnjp	PERSON	Baretta
m_01rl2rj	PERSON	Mester Tam\xc3\xa1s
m_01rr118	PERSON	Uldis Marhil\xc4\x93vi\xc4\x8ds
m_01rsjh4	PERSON	Jahba
m_01rt2zv	PERSON	Jo Squillo
m_01ryzjv	PERSON	Kanazawa, Akiko
m_01s42rf	PERSON	Paul Curreri
m_01s5kc	PERSON	Scipio Africanus Jones
m_01s60r	PERSON	Armand Falli\xc3\xa8res
m_01s_y6r	PERSON	Eric Tagg
m_01sbdbb	PERSON	Katariina H\xc3\xa4nninen
m_01sc44f	PERSON	Mike Grosshandler
m_01sc7pb	PERSON	Kelley Polar
m_01sf_77	PERSON	Jim Photoglo
m_01sg5pr	PERSON	Poison
m_01sj765	PERSON	Yoo Seungjun
m_01sjwwp	PERSON	Ove Thue
m_01sk12	PERSON	Tony Gwynn
m_01styh3	PERSON	Clear & Present
m_01sv_9s	PERSON	Nesti
m_01sxpk3	PERSON	Marcell
m_01syxys	PERSON	Timlin
m_01sz2yd	PERSON	Mike Wexler
m_01t0cyz	PERSON	e.p. hall
m_01t0skd	PERSON	Robert Cezar
m_01t7kwf	PERSON	Rev. Clay Evans
m_01t9khv	PERSON	Udi Yorgo Bacanos
m_01t_2yn	PERSON	Herbert Roth
m_01t_4v_	PERSON	DJ Hugo Bass
m_01t_9rt	PERSON	Anne Savage
m_01tblt	PERSON	Jacques Thibaud
m_01tc9r	PERSON	Howard Shore
m_01tk9lk	PERSON	Ali N. Askin
m_01tn72s	PERSON	Viktoria
m_01tspjk	PERSON	Thelma Holt
m_01ttzrg	PERSON	Massimo Cominotto
m_01tv_qp	PERSON	Darren Tate
m_01tvj7f	PERSON	Robert Lucas
m_01twh4	PERSON	Jethro
m_01tym1c	PERSON	I.D. Beck
m_01tz8h	PERSON	Lex Barker
m_01tz95m	PERSON	Joe Jones
m_01tzlcc	PERSON	Lee Van Cleef
m_01tzyhw	PERSON	Z\xc3\xa9 Manel
m_01v172	PERSON	Edward Sexby
m_01v1w14	PERSON	Azie Mortimer
m_01v1zst	PERSON	Diamond Joe
m_01v2fxn	PERSON	Martin Sommer
m_01v2v9p	PERSON	David Robbins
m_01v3qhx	PERSON	Morten Remar
m_01v3wkh	PERSON	Elsie Carlisle
m_01v4cz9	PERSON	Ral Donner
m_01v6086	PERSON	Dinand Woesthoff
m_01v6tg8	PERSON	Pat Ely
m_01v76vd	PERSON	David Cain
m_01v9hw_	PERSON	Scott Gilman
m_01v9zcq	PERSON	Tokala Clifford
m_01v_9t	PERSON	Chuck Mosley
m_01v_c78	PERSON	Rui Alberto Vieira Dias Mingao
m_01v_pgv	PERSON	Max Stankovich
m_01vbn87	PERSON	Evil Ed
m_01vbzz6	PERSON	Jessica Andersson
m_01vc2c_	PERSON	Isao Kasai
