EL000014	E0690220	GPE	YES	WL
EL000019	E0690220	GPE	YES	WL
EL000026	E0206158	PER	YES	WL
EL000029	E0690220	GPE	YES	WL
EL000148	E0472659	GPE	YES	WL
EL000156	E0472659	GPE	YES	WL
EL000176	E0690220	GPE	YES	WL
EL000281	NIL0001	GPE	NO	WL
EL000287	NIL0001	GPE	NO	WL
EL000304	NIL0003	GPE	NO	WL
EL000345	E0241006	GPE	NO	WL
EL000379	E0533523	GPE	YES	WL
EL000434	NIL0004	GPE	NO	WL
EL000441	E0144449	GPE	YES	WL
EL000445	NIL0004	GPE	NO	WL
EL000446	NIL0004	GPE	NO	WL
EL000449	E0735022	GPE	YES	WL
EL000453	E0699826	GPE	YES	WL
EL000487	E0690904	GPE	NO	WL
EL000543	E0431500	GPE	NO	WL
EL000547	E0739132	GPE	YES	WL
EL000549	E0739132	GPE	YES	WL
EL000555	NIL0005	GPE	NO	WL
EL000602	NIL0007	GPE	NO	WL
EL000634	E0272861	GPE	YES	WL
EL000643	E0049548	GPE	YES	WL
EL000675	NIL0008	GPE	NO	WL
EL000680	E0205605	GPE	YES	WL
EL000690	NIL0009	GPE	NO	WL
EL000697	NIL0009	GPE	NO	WL
EL000700	NIL0010	GPE	NO	WL
EL000701	NIL0010	GPE	NO	WL
EL000765	E0149263	GPE	YES	WL
EL000766	E0149263	GPE	YES	WL
EL000768	E0149263	GPE	YES	WL
EL000776	E0149263	GPE	YES	WL
EL000812	E0433287	GPE	YES	WL
EL000825	E0519583	GPE	YES	WL
EL000831	E0519583	GPE	YES	WL
EL000836	E0519583	GPE	YES	WL
EL000848	NIL0012	GPE	NO	WL
EL000850	NIL0012	GPE	NO	WL
EL000884	E0626434	GPE	YES	WL
EL000969	E0121293	GPE	YES	WL
EL000974	E0121293	GPE	NO	WL
EL001026	E0620264	GPE	YES	WL
EL001035	E0253605	GPE	YES	WL
EL001046	E0253605	GPE	YES	WL
EL001047	E0253605	GPE	YES	WL
EL001102	E0710271	GPE	YES	WL
EL001125	E0363476	GPE	YES	WL
EL001135	E0327823	GPE	YES	WL
EL001145	E0645330	GPE	YES	WL
